shuffle_id,network,n_regions,CRRP_Allocation,CRRP_Flexibility,CRRP_Residual,CRRP_Contrast,CRRP_Switching
0,Vis,29,0.4617153061805405,0.0071321715776515564,6.694973451567866e-06,6.269078303691899e-06,0.0005890476816074981
0,SomMot,35,0.38262169060608486,0.0013060062785469622,3.438018760054647e-06,3.086336274258783e-06,0.00029217268634228714
0,DorsAttn,26,0.4096007875861696,0.0018162400936883182,4.527486436098628e-06,3.75736282191248e-06,0.0003679933475627842
0,SalVentAttn,22,0.44741301185087073,0.001814795119800186,3.6919757700017533e-06,3.3840455778295665e-06,0.0003225280234846037
0,Limbic,12,0.39196003768368753,0.0021874260256413,5.460030350999804e-06,3.963377481975435e-06,0.0004072908865308096
0,Cont,30,0.48488978247249775,0.0016019377129429674,4.437053055662605e-06,3.7000219419453506e-06,0.00036689932698171575
0,Default,46,0.44628612985086014,0.002692252158784657,5.607695553298483e-06,5.022454934924895e-06,0.0004855916938837345
1,Vis,29,0.4600162884536364,0.003747020095605712,6.02469738367317e-06,5.1876962497555735e-06,0.0005096649254080109
1,SomMot,35,0.3353507227145392,0.001473511300982058,3.1325448816150257e-06,3.545435847208006e-06,0.00029816456018999917
1,DorsAttn,26,0.36838010808769417,0.002311302228641918,5.4335992694411286e-06,4.112581283226335e-06,0.0004228211746825043
1,SalVentAttn,22,0.29921451001319477,0.001336926846759754,3.088590302872469e-06,4.233102001081034e-06,0.0003237923009818096
1,Limbic,12,0.3230122564584697,0.0020771852464631833,4.642898478323496e-06,4.553395190408738e-06,0.00041858179271698706
1,Cont,30,0.3799627785924773,0.002783224918927636,5.144126327842466e-06,4.232585731961067e-06,0.00042051486018720264
1,Default,46,0.3526874170104675,0.0028378815040161886,4.984989063271615e-06,5.397641980806829e-06,0.0004721443545879092
2,Vis,29,0.34661304931158093,0.005177382111938238,5.579469427638363e-06,7.4603947632958325e-06,0.0006020708246110251
2,SomMot,35,0.3006185451249247,0.0014101216004037945,3.101992263822695e-06,3.830602378832373e-06,0.00030985705431032433
2,DorsAttn,26,0.3206552139708342,0.002457022096351182,4.198091935093209e-06,4.278143974203687e-06,0.0003881560248257032
2,SalVentAttn,22,0.3483088138567428,0.002547701112839867,3.6930194293015976e-06,3.987402646767474e-06,0.00035027677844304527
2,Limbic,12,0.33957346423470275,0.0021102349781230907,4.1912453727897155e-06,5.429564234443353e-06,0.0004262439249839407
2,Cont,30,0.30848197708584163,0.002451983725042712,4.858810275559026e-06,5.750688113997097e-06,0.0004780971899366933
2,Default,46,0.31220596046582705,0.00314901283668954,6.0423785538693645e-06,6.9929960304659765e-06,0.0005867186290673757
3,Vis,29,0.45984554297168845,0.006367687311697844,6.684149203172296e-06,7.2643810789427574e-06,0.0006417441201256634
3,SomMot,35,0.43734195241068924,0.002018643433923012,3.605782762313508e-06,3.3373732122092496e-06,0.0003181621840047956
3,DorsAttn,26,0.4200816595779671,0.0021291435938645053,4.730286286638592e-06,4.411547941625424e-06,0.000413935393883352
3,SalVentAttn,22,0.43985772016641067,0.002213621185155583,3.599403062000752e-06,4.63077210784646e-06,0.0003774941505914373
3,Limbic,12,0.4034116115553689,0.002031499861063791,5.530905283206925e-06,5.418898134849443e-06,0.0004717204061858901
3,Cont,30,0.41752947624131154,0.003040658511147616,4.849614832375693e-06,5.360533875418376e-06,0.00047095913665271195
3,Default,46,0.42818664386231153,0.003033798577652725,5.599110048462663e-06,7.456754733013778e-06,0.0005938620465896248
4,Vis,29,0.37228565928594787,0.0030103358025228492,6.23014636351229e-06,5.94401502213008e-06,0.0005545958613429396
4,SomMot,35,0.41533893154980034,0.002169846762989331,4.297565119345747e-06,3.7658071635034563e-06,0.00035588798867436405
4,DorsAttn,26,0.4052801409662444,0.0023506879588532153,4.778390024257025e-06,4.425306895256317e-06,0.0004152461072564502
4,SalVentAttn,22,0.4155561297030742,0.0024768588054659706,4.3021452929634875e-06,4.0429715822041135e-06,0.000378288683615174
4,Limbic,12,0.2899500655935973,0.0027291344987809426,5.287034336302121e-06,5.043816926765076e-06,0.0004728651443536012
4,Cont,30,0.3709712964103568,0.0023276999479319277,4.7474654400226995e-06,4.323977728044747e-06,0.00040995162931005484
4,Default,46,0.3956327021363955,0.0034976610286158367,5.340878265978975e-06,5.607353381091172e-06,0.0005039959413142899
5,Vis,29,0.2911702103441335,0.003364448034968301,5.564291262038364e-06,7.615002701661218e-06,0.0005826876053002336
5,SomMot,35,0.38084323985344626,0.0027594290981223742,3.7950127407703385e-06,4.257078607793642e-06,0.0003641979405951731
5,DorsAttn,26,0.39141157430422857,0.0038864348112256394,4.629072211422604e-06,5.0273003819067764e-06,0.00043210207875159305
5,SalVentAttn,22,0.471329770216454,0.002313060476065796,4.15319159946187e-06,4.037398581389586e-06,0.0003744629530206333
5,Limbic,12,0.3636126715814883,0.0018869568034534014,4.109701697394314e-06,4.971524318206075e-06,0.0004096548352738254
5,Cont,30,0.32922440194659985,0.0031020500792639234,4.546326081583306e-06,5.270836190847752e-06,0.0004346620707453707
5,Default,46,0.4732241059174422,0.00415572423126092,6.267676767394824e-06,6.544848892446991e-06,0.000582645693846888
6,Vis,29,0.3667475300746914,0.006270607479099715,6.577131808702218e-06,7.753520429165046e-06,0.0006545532133397392
6,SomMot,35,0.3950355790815541,0.0022947249624243014,4.015699719554692e-06,3.1729868028368645e-06,0.0003193091192371219
6,DorsAttn,26,0.3824829229405574,0.0038619083937680124,5.092724861924077e-06,4.213715156462114e-06,0.00041673367863279316
6,SalVentAttn,22,0.39810304748499376,0.0023483771570371394,3.9404782856250575e-06,4.639639325975496e-06,0.00039057888987892054
6,Limbic,12,0.3905550232803254,0.003038182033597086,4.714667224064535e-06,4.651452793728103e-06,0.00041536535216122797
6,Cont,30,0.3862863089748112,0.004307557463209748,5.6565526746318385e-06,4.313382989652132e-06,0.0004459030202820902
6,Default,46,0.369859375083557,0.004567629062187373,5.683159494109043e-06,6.580186381339204e-06,0.0005586448537304744
7,Vis,29,0.3890350814945921,0.004298402159413035,6.429933550854465e-06,7.131789401686679e-06,0.0006171720451934292
7,SomMot,35,0.4074680253806038,0.0013859718726344124,3.831597259395436e-06,3.3727107183936345e-06,0.00032261635025476596
7,DorsAttn,26,0.39020377739331036,0.0026745688989082595,4.517845015219623e-06,4.0973960045343095e-06,0.0003907705558181191
7,SalVentAttn,22,0.39944004865118665,0.0018733984978296888,3.8472402376816645e-06,4.024759873677778e-06,0.00035860445976146436
7,Limbic,12,0.3839507191483344,0.002771721598234465,4.539566492086862e-06,4.420602189434915e-06,0.0004087801863982684
7,Cont,30,0.4092179723049231,0.00269388378539659,4.947327996777815e-06,4.151693709308891e-06,0.0004132004251631177
7,Default,46,0.4013388180611359,0.0035076625256701363,5.73901922788382e-06,5.214332253773978e-06,0.0005037998994004615
8,Vis,29,0.37364181022068266,0.0037662004286466697,6.139555867489313e-06,7.3211076133303925e-06,0.0006150726857230394
8,SomMot,35,0.3917431354142929,0.001692617597146966,3.9668471441232075e-06,3.4702557800052496e-06,0.0003297073319515605
8,DorsAttn,26,0.3812497291111217,0.002579705341298482,4.621458847291504e-06,4.638093063173216e-06,0.00041708246098741197
8,SalVentAttn,22,0.4333775971000286,0.0021497955286964078,3.9830790303548666e-06,4.03440612353639e-06,0.00036115392759401
8,Limbic,12,0.453072545208742,0.0020928757429029585,4.09024582917097e-06,4.6098113426365454e-06,0.00039344700140651494
8,Cont,30,0.4137105881733394,0.002685326461751928,5.035784824870475e-06,4.9604143605653915e-06,0.0004453320245944245
